asvLen	totReads	numSamps
ASV.518	175	122	1
ASV.519	295	121	2
ASV.520	100	120	6
ASV.522	37	120	4
ASV.524	328	119	1
ASV.525	181	118	2
ASV.527	328	117	1
ASV.528	64	117	3
ASV.529	304	117	2
ASV.530	328	117	1
ASV.531	289	116	2
ASV.532	133	116	3
ASV.533	328	116	1
ASV.534	328	116	1
ASV.537	340	115	2
ASV.538	66	115	2
ASV.539	328	114	1
ASV.541	328	114	1
ASV.544	295	111	1
ASV.546	52	110	14
ASV.547	184	110	3
ASV.549	307	109	1
ASV.550	260	109	2
ASV.551	328	109	1
ASV.552	122	109	1
ASV.553	328	108	1
ASV.554	328	108	1
ASV.556	65	108	9
ASV.557	295	107	1
ASV.558	328	107	1
ASV.559	328	106	1
ASV.560	121	106	5
ASV.561	221	106	4
ASV.562	173	106	2
ASV.565	112	104	4
ASV.566	148	104	5
ASV.567	328	104	1
ASV.568	328	104	1
ASV.570	67	102	7
ASV.571	90	102	4
ASV.572	74	102	8
ASV.573	367	102	1
ASV.574	100	101	4
ASV.575	328	101	1
ASV.577	328	101	1
ASV.578	34	100	9
ASV.580	328	99	1
ASV.581	137	98	1
ASV.582	328	97	1
ASV.583	85	97	5
ASV.584	280	97	7
ASV.585	341	97	1
ASV.586	183	96	2
ASV.587	244	96	1
ASV.588	296	96	1
ASV.590	158	96	4
ASV.591	312	96	1
ASV.592	328	95	1
ASV.594	328	95	1
ASV.595	202	94	1
ASV.596	328	93	2
ASV.597	41	93	3
ASV.599	328	93	1
ASV.600	328	92	1
ASV.601	259	92	2
ASV.605	328	91	1
ASV.606	165	90	3
ASV.608	73	90	3
ASV.609	247	90	2
ASV.610	169	90	3
ASV.611	328	90	1
ASV.613	280	89	6
ASV.614	274	89	3
ASV.615	137	88	1
ASV.617	121	87	7
ASV.620	328	87	1
ASV.621	190	87	1
ASV.623	71	86	8
ASV.624	190	86	2
ASV.625	328	86	1
ASV.626	131	85	4
ASV.627	64	85	1
ASV.629	328	84	1
ASV.630	280	84	7
ASV.631	246	84	1
ASV.633	162	83	1
ASV.635	195	82	2
ASV.636	64	82	2
ASV.637	328	82	1
ASV.638	328	82	1
ASV.640	328	82	1
ASV.641	220	82	2
ASV.642	175	82	1
ASV.643	134	81	5
ASV.644	295	81	1
ASV.645	48	80	6
ASV.646	163	80	1
ASV.647	328	80	1
ASV.649	232	79	1
ASV.650	43	78	5
ASV.652	295	78	1
ASV.653	56	78	3
ASV.654	54	78	1
ASV.656	328	78	1
ASV.658	319	77	1
ASV.659	123	77	2
ASV.660	43	77	2
ASV.662	328	76	1
ASV.663	86	76	3
ASV.665	328	76	1
ASV.666	77	75	2
ASV.667	254	75	1
ASV.669	224	74	4
ASV.670	364	74	1
ASV.671	202	74	1
ASV.673	65	74	1
ASV.675	328	73	1
ASV.676	328	73	1
ASV.677	225	73	2
ASV.680	248	72	1
ASV.681	55	72	1
ASV.682	98	72	1
ASV.683	175	72	2
ASV.684	277	72	1
ASV.685	325	72	1
ASV.686	328	72	1
ASV.687	146	72	1
ASV.688	69	71	4
ASV.691	237	71	2
ASV.692	307	71	1
ASV.694	328	70	1
ASV.696	115	70	2
ASV.697	175	69	4
ASV.698	364	69	1
ASV.699	322	69	1
ASV.700	257	69	2
ASV.702	141	68	1
ASV.703	245	68	2
ASV.704	328	68	1
ASV.705	151	68	1
ASV.706	54	67	3
ASV.707	328	67	1
ASV.708	328	67	1
ASV.709	169	67	2
ASV.712	328	67	1
ASV.713	328	67	1
ASV.714	181	66	2
ASV.715	36	66	4
ASV.716	112	66	2
ASV.718	149	66	1
ASV.720	328	65	1
ASV.721	328	65	1
ASV.722	112	65	3
ASV.723	328	65	1
ASV.725	44	64	3
ASV.728	139	64	2
ASV.729	99	64	2
ASV.730	328	63	1
ASV.731	42	63	3
ASV.732	328	63	1
ASV.733	192	63	1
ASV.735	244	62	1
ASV.737	133	62	3
ASV.738	142	62	1
ASV.739	82	61	2
ASV.740	76	61	1
ASV.741	174	61	3
ASV.743	64	60	3
ASV.744	328	60	1
ASV.746	328	60	1
ASV.747	108	60	2
ASV.748	46	60	3
ASV.749	187	60	2
ASV.751	108	59	2
ASV.752	206	59	1
ASV.753	328	59	1
ASV.754	190	59	1
ASV.755	89	58	6
ASV.758	138	58	4
ASV.759	278	58	1
ASV.760	331	58	1
ASV.761	135	58	1
ASV.762	328	58	1
ASV.764	284	58	1
ASV.765	43	57	2
ASV.767	134	57	2
ASV.768	63	56	5
ASV.770	328	56	1
ASV.772	49	56	1
ASV.773	328	56	1
ASV.774	175	56	1
ASV.775	202	55	1
ASV.776	67	55	6
ASV.777	328	55	1
ASV.778	204	55	1
ASV.779	390	54	2
ASV.780	295	54	2
ASV.782	205	54	1
ASV.784	328	53	1
ASV.786	108	53	1
ASV.787	281	53	1
ASV.788	148	53	2
ASV.790	171	53	2
ASV.793	85	52	7
ASV.797	77	51	1
ASV.798	292	51	1
ASV.799	105	51	1
ASV.801	329	51	1
ASV.802	287	51	1
ASV.803	115	51	1
ASV.804	204	51	2
ASV.807	64	50	3
ASV.808	208	50	1
ASV.809	77	50	4
ASV.810	149	50	1
ASV.812	221	50	1
ASV.813	60	50	1
ASV.815	212	50	1
ASV.816	77	50	1
ASV.821	93	49	3
ASV.823	328	49	1
ASV.824	328	49	1
ASV.828	72	49	1
ASV.829	328	49	1
ASV.831	43	48	1
ASV.833	78	48	4
ASV.835	142	48	2
ASV.836	98	47	5
ASV.839	39	47	1
ASV.840	106	47	4
ASV.841	62	47	1
