#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563692_R2.fastq.gz	DNA	Frac_0.2	SRR15563692
RawFastqs/SRR15563693_R1.fastq.gz	DNA	Frac_0.2	SRR15563693
RawFastqs/SRR15563693_R2.fastq.gz	DNA	Frac_0.2	SRR15563693
RawFastqs/SRR15563694_R1.fastq.gz	DNA	Frac_0.2	SRR15563694
RawFastqs/SRR15563694_R2.fastq.gz	DNA	Frac_0.2	SRR15563694
RawFastqs/SRR15563695_R1.fastq.gz	DNA	Frac_0.2	SRR15563695
RawFastqs/SRR15563695_R2.fastq.gz	DNA	Frac_0.2	SRR15563695
RawFastqs/SRR15563696_R1.fastq.gz	DNA	Frac_0.2	SRR15563696
RawFastqs/SRR15563696_R2.fastq.gz	DNA	Frac_0.2	SRR15563696
RawFastqs/SRR15563697_R1.fastq.gz	DNA	Frac_0.2	SRR15563697
RawFastqs/SRR15563697_R2.fastq.gz	DNA	Frac_0.2	SRR15563697
RawFastqs/SRR15563698_R1.fastq.gz	DNA	Frac_0.2	SRR15563698
RawFastqs/SRR15563698_R2.fastq.gz	DNA	Frac_0.2	SRR15563698
RawFastqs/SRR15563699_R1.fastq.gz	DNA	Frac_0.2	SRR15563699
RawFastqs/SRR15563699_R2.fastq.gz	DNA	Frac_0.2	SRR15563699
RawFastqs/SRR15563700_R1.fastq.gz	DNA	Frac_0.2	SRR15563700
RawFastqs/SRR15563700_R2.fastq.gz	DNA	Frac_0.2	SRR15563700
RawFastqs/SRR15563701_R1.fastq.gz	DNA	Frac_0.2	SRR15563701
RawFastqs/SRR15563701_R2.fastq.gz	DNA	Frac_0.2	SRR15563701
RawFastqs/SRR15564309_R1.fastq.gz	DNA	Frac_0.2	SRR15564309
RawFastqs/SRR15564309_R2.fastq.gz	DNA	Frac_0.2	SRR15564309
RawFastqs/SRR15564310_R1.fastq.gz	DNA	Frac_0.2	SRR15564310
RawFastqs/SRR15564310_R2.fastq.gz	DNA	Frac_0.2	SRR15564310
RawFastqs/SRR15564311_R1.fastq.gz	DNA	Frac_0.2	SRR15564311
RawFastqs/SRR15564311_R2.fastq.gz	DNA	Frac_0.2	SRR15564311
