asvLen	totReads	numSamps
ASV.1206	56	332	2
ASV.1207	231	332	1
ASV.1208	56	332	1
ASV.1209	59	331	3
ASV.1210	92	331	1
ASV.1211	80	331	1
ASV.1212	97	331	1
ASV.1214	109	330	2
ASV.1215	109	330	1
ASV.1216	113	329	1
ASV.1217	40	329	1
ASV.1218	71	328	1
ASV.1220	169	327	1
ASV.1222	107	326	1
ASV.1224	78	326	1
ASV.1225	149	326	2
ASV.1227	52	325	1
ASV.1232	66	325	1
ASV.1233	71	325	1
ASV.1235	112	324	1
ASV.1237	73	324	1
ASV.1238	94	324	1
ASV.1239	139	323	1
ASV.1241	53	323	1
ASV.1242	42	323	1
ASV.1243	107	322	1
ASV.1244	85	322	2
ASV.1245	49	322	4
ASV.1247	110	321	1
ASV.1248	72	321	1
ASV.1250	44	321	1
ASV.1251	42	321	1
ASV.1252	73	321	1
ASV.1253	133	320	1
ASV.1254	72	320	3
ASV.1256	85	320	3
ASV.1259	59	319	1
ASV.1260	85	319	1
ASV.1261	133	318	2
ASV.1262	50	318	3
ASV.1263	92	317	1
ASV.1264	72	317	1
ASV.1265	91	316	1
ASV.1266	90	316	1
ASV.1267	43	316	1
ASV.1268	38	315	1
ASV.1269	39	315	4
ASV.1270	119	314	1
ASV.1271	76	314	1
ASV.1272	47	314	2
ASV.1273	93	314	1
ASV.1274	102	314	2
ASV.1277	112	313	1
ASV.1279	49	313	1
ASV.1280	95	313	1
ASV.1281	69	313	1
ASV.1282	89	312	2
ASV.1283	56	312	1
ASV.1284	91	312	1
ASV.1286	52	311	1
ASV.1287	105	310	1
ASV.1288	115	310	1
ASV.1290	68	310	2
ASV.1291	67	309	2
ASV.1292	98	309	1
ASV.1293	94	308	2
ASV.1295	145	308	2
ASV.1296	169	308	2
ASV.1299	41	307	1
ASV.1300	89	307	2
ASV.1301	51	307	1
ASV.1303	56	306	2
ASV.1304	108	306	2
ASV.1305	169	306	1
ASV.1306	60	306	1
ASV.1307	120	305	1
ASV.1308	65	305	3
ASV.1309	81	305	2
ASV.1310	93	305	1
ASV.1311	46	305	1
ASV.1312	131	304	1
ASV.1313	127	304	1
ASV.1314	96	304	1
ASV.1315	48	304	1
ASV.1316	85	304	1
ASV.1317	97	304	1
ASV.1319	97	303	1
ASV.1320	196	303	1
ASV.1321	114	303	3
ASV.1322	82	302	1
ASV.1323	75	302	1
ASV.1325	37	302	1
ASV.1327	91	301	2
ASV.1328	50	301	1
ASV.1330	71	301	1
ASV.1333	97	299	1
ASV.1334	79	299	1
ASV.1335	74	299	2
ASV.1336	77	298	1
ASV.1338	130	298	1
ASV.1340	92	297	2
ASV.1342	39	297	1
ASV.1344	107	297	1
ASV.1346	37	297	1
ASV.1347	119	296	1
ASV.1349	109	296	1
ASV.1350	61	296	1
ASV.1351	96	295	1
ASV.1352	92	295	1
ASV.1353	74	295	1
ASV.1354	71	295	1
ASV.1355	95	294	1
ASV.1356	56	294	1
ASV.1357	73	294	1
ASV.1358	104	294	1
ASV.1359	79	294	1
ASV.1360	84	294	1
ASV.1362	143	293	4
ASV.1363	69	292	1
ASV.1364	59	292	2
ASV.1366	51	292	1
ASV.1367	139	291	1
ASV.1368	127	291	1
ASV.1369	69	291	1
ASV.1370	102	290	1
ASV.1371	126	290	1
ASV.1376	54	289	1
ASV.1377	121	289	1
ASV.1378	54	289	1
ASV.1379	49	289	1
ASV.1380	84	289	2
ASV.1382	67	288	1
ASV.1383	51	288	1
ASV.1384	44	288	1
ASV.1385	74	288	1
ASV.1386	98	287	2
ASV.1387	99	287	1
ASV.1388	67	287	1
ASV.1390	41	287	1
ASV.1391	78	287	1
ASV.1392	67	287	2
ASV.1393	91	286	1
ASV.1394	39	286	1
ASV.1395	68	286	3
ASV.1396	51	286	1
ASV.1398	96	285	1
ASV.1399	51	285	1
ASV.1400	36	285	1
ASV.1401	82	285	1
ASV.1403	166	285	2
ASV.1404	63	285	2
ASV.1405	68	285	1
ASV.1406	42	285	1
ASV.1408	48	284	1
ASV.1409	153	284	1
ASV.1410	135	283	1
ASV.1411	140	283	1
ASV.1412	87	283	1
ASV.1413	48	283	2
ASV.1414	48	283	1
ASV.1417	67	281	1
ASV.1418	151	281	2
ASV.1419	325	281	1
ASV.1420	39	281	1
ASV.1421	82	281	1
ASV.1422	73	281	2
ASV.1423	112	280	3
ASV.1424	127	280	1
ASV.1425	62	280	1
ASV.1428	255	280	2
ASV.1429	60	280	1
ASV.1430	54	280	3
ASV.1431	66	280	2
ASV.1433	60	280	1
ASV.1434	37	279	1
ASV.1436	66	279	1
ASV.1437	109	279	1
ASV.1438	52	279	1
ASV.1439	81	278	1
ASV.1440	42	278	1
