SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.129	0	127	0	77	133	0	34	30	20	54	0	0	8	24	0	0	0	0	0	0	168	0	273	67	0	0	0	199	0
ASV.130	0	0	0	0	0	0	0	0	120	1052	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0
ASV.132	175	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	372	0
ASV.133	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	58	14	310	7	192	443	60	0	43	0	17	2	35	0	0	0	0	0	0	0	0	0
ASV.135	0	64	0	0	0	0	0	0	0	52	235	565	245	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ASV.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.137	0	0	0	0	0	0	0	0	153	953	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.138	0	0	0	0	0	0	0	22	161	700	0	125	46	0	0	27	0	75	0	0	0	0	0	0	0	0	0	0	0
ASV.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	0	133	0	0	0	0	0	0	0	0	0	0	0
ASV.140	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	116	432	0	0	0	0	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0
ASV.144	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1025	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.145	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023	0	0
ASV.148	21	53	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	28	0	0	0	4	0	0	0	0	887	0
ASV.149	0	0	0	0	0	0	0	0	107	867	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	336	0	0	0	647	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.154	0	0	0	0	0	0	0	7	6	44	18	156	36	44	0	43	0	170	382	56	0	0	0	0	0	0	0	0	0
ASV.155	23	274	94	0	98	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	254	0
ASV.156	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0
ASV.157	0	0	0	0	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.158	0	0	0	0	0	0	0	556	18	0	0	21	21	231	0	0	0	26	0	57	0	0	0	0	0	0	0	0	0
ASV.159	191	0	10	34	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0
ASV.160	0	0	0	0	0	0	0	300	82	0	0	0	127	66	0	75	0	135	37	96	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	0	0	0	13	0	0	664	43	0	0	0	0	0	142	47	0	0	0	0	0	0	0	0	0
ASV.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	30	464	0	84	0	0	0	263	0	48	0	0	0	0	0	0	0	0	0	0	0
ASV.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	855	0	0	0	0	0	0	0	0	0	0
ASV.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0	0	0
ASV.169	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.172	0	0	0	0	0	0	0	0	0	244	0	361	42	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	323	0	0	0	0	0
ASV.175	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0
ASV.176	0	0	0	0	0	0	0	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
