asvLen	totReads	numSamps
ASV.811	328	159	1
ASV.812	328	159	1
ASV.814	265	159	1
ASV.816	60	158	2
ASV.817	328	158	2
ASV.819	207	158	4
ASV.820	137	158	2
ASV.821	198	158	2
ASV.822	328	158	2
ASV.826	75	157	1
ASV.827	148	157	5
ASV.828	381	157	3
ASV.829	38	157	2
ASV.830	118	157	1
ASV.832	328	157	1
ASV.833	341	157	1
ASV.834	99	156	4
ASV.835	106	156	1
ASV.836	76	156	5
ASV.837	48	156	1
ASV.838	100	156	2
ASV.839	457	155	1
ASV.840	223	155	2
ASV.841	328	155	2
ASV.842	278	155	2
ASV.843	35	155	2
ASV.844	87	155	4
ASV.845	314	155	1
ASV.846	325	155	1
ASV.847	341	155	1
ASV.848	118	154	4
ASV.849	230	154	7
ASV.850	70	154	2
ASV.851	99	153	2
ASV.852	152	153	3
ASV.853	288	153	3
ASV.854	170	153	3
ASV.855	43	153	2
ASV.856	108	153	2
ASV.858	43	153	1
ASV.859	340	153	1
ASV.860	322	152	1
ASV.861	43	152	1
ASV.862	79	152	6
ASV.863	264	152	2
ASV.864	68	152	3
ASV.865	154	151	5
ASV.866	328	151	1
ASV.868	169	151	2
ASV.870	447	150	1
ASV.872	32	150	7
ASV.873	88	150	4
ASV.874	152	150	2
ASV.876	172	150	2
ASV.877	80	149	5
ASV.878	198	149	4
ASV.879	163	149	4
ASV.880	53	149	4
ASV.881	194	149	4
ASV.882	174	149	1
ASV.884	200	149	1
ASV.887	355	148	2
ASV.888	94	148	1
ASV.889	118	148	3
ASV.892	123	148	1
ASV.893	222	148	1
ASV.894	322	148	1
ASV.895	132	147	1
ASV.896	139	147	3
ASV.897	409	147	1
ASV.898	91	146	6
ASV.899	173	146	6
ASV.900	167	146	2
ASV.901	43	146	4
ASV.902	381	146	2
ASV.903	175	146	4
ASV.904	174	146	1
ASV.905	328	146	1
ASV.906	303	146	1
ASV.908	219	145	6
ASV.909	113	145	1
ASV.910	283	145	1
ASV.911	328	144	2
ASV.912	110	144	6
ASV.913	331	144	3
ASV.914	206	144	1
ASV.915	316	144	1
ASV.916	301	144	1
ASV.917	42	143	7
ASV.918	358	142	4
ASV.919	328	142	1
ASV.921	269	142	1
ASV.922	228	141	8
ASV.924	229	141	1
ASV.926	91	141	8
ASV.927	232	141	3
ASV.928	179	141	2
ASV.929	193	141	3
ASV.930	296	141	1
ASV.931	335	140	1
ASV.933	111	140	2
ASV.934	42	140	1
ASV.935	94	140	1
ASV.936	272	140	1
ASV.937	100	139	5
ASV.938	253	139	1
ASV.939	126	139	4
ASV.940	328	139	1
ASV.942	297	138	1
ASV.943	119	138	5
ASV.944	402	138	1
ASV.945	91	138	3
ASV.946	266	138	1
