SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.1460	2	0	0	0	0	0	0	0
ASV.1461	2	0	0	0	0	0	0	0
ASV.1462	2	0	0	0	0	0	0	0
ASV.1463	0	2	0	0	0	0	0	0
ASV.1464	0	2	0	0	0	0	0	0
ASV.1465	0	2	0	0	0	0	0	0
ASV.1466	0	2	0	0	0	0	0	0
ASV.1467	0	2	0	0	0	0	0	0
ASV.1468	0	2	0	0	0	0	0	0
ASV.1469	0	2	0	0	0	0	0	0
ASV.1470	0	2	0	0	0	0	0	0
ASV.1471	0	2	0	0	0	0	0	0
ASV.1472	0	2	0	0	0	0	0	0
ASV.1473	0	2	0	0	0	0	0	0
ASV.1474	0	2	0	0	0	0	0	0
ASV.1475	0	2	0	0	0	0	0	0
ASV.1476	0	2	0	0	0	0	0	0
ASV.1477	0	2	0	0	0	0	0	0
ASV.1478	0	2	0	0	0	0	0	0
ASV.1480	0	0	2	0	0	0	0	0
ASV.1481	0	0	2	0	0	0	0	0
ASV.1482	0	0	2	0	0	0	0	0
ASV.1483	0	0	2	0	0	0	0	0
ASV.1484	0	0	2	0	0	0	0	0
ASV.1485	0	0	2	0	0	0	0	0
ASV.1486	0	0	2	0	0	0	0	0
ASV.1487	0	0	2	0	0	0	0	0
ASV.1488	0	0	2	0	0	0	0	0
ASV.1489	0	0	2	0	0	0	0	0
ASV.1490	0	0	2	0	0	0	0	0
ASV.1491	0	0	2	0	0	0	0	0
ASV.1492	0	0	2	0	0	0	0	0
ASV.1493	0	0	2	0	0	0	0	0
ASV.1494	0	0	2	0	0	0	0	0
ASV.1495	0	0	2	0	0	0	0	0
ASV.1496	0	0	2	0	0	0	0	0
ASV.1497	0	0	2	0	0	0	0	0
ASV.1498	0	0	2	0	0	0	0	0
ASV.1499	0	0	2	0	0	0	0	0
ASV.1500	0	0	2	0	0	0	0	0
ASV.1501	0	0	2	0	0	0	0	0
ASV.1502	0	0	2	0	0	0	0	0
ASV.1503	0	0	2	0	0	0	0	0
ASV.1504	0	0	2	0	0	0	0	0
ASV.1505	0	0	2	0	0	0	0	0
ASV.1506	0	0	2	0	0	0	0	0
ASV.1507	0	0	2	0	0	0	0	0
ASV.1508	0	0	2	0	0	0	0	0
ASV.1509	0	0	2	0	0	0	0	0
ASV.1510	0	0	2	0	0	0	0	0
ASV.1511	0	0	2	0	0	0	0	0
ASV.1512	0	0	2	0	0	0	0	0
ASV.1513	0	0	2	0	0	0	0	0
ASV.1515	0	0	0	2	0	0	0	0
ASV.1516	0	0	0	2	0	0	0	0
ASV.1517	0	0	0	2	0	0	0	0
ASV.1518	0	0	0	2	0	0	0	0
ASV.1519	0	0	0	2	0	0	0	0
ASV.1520	0	0	0	2	0	0	0	0
ASV.1521	0	0	0	2	0	0	0	0
ASV.1522	0	0	0	2	0	0	0	0
ASV.1523	0	0	0	2	0	0	0	0
ASV.1524	0	0	0	2	0	0	0	0
ASV.1525	0	0	0	2	0	0	0	0
ASV.1526	0	0	0	2	0	0	0	0
ASV.1527	0	0	0	2	0	0	0	0
ASV.1528	0	0	0	2	0	0	0	0
ASV.1529	0	0	0	2	0	0	0	0
ASV.1530	0	0	0	2	0	0	0	0
ASV.1531	0	0	0	2	0	0	0	0
ASV.1532	0	0	0	2	0	0	0	0
ASV.1533	0	0	0	2	0	0	0	0
ASV.1534	0	0	0	2	0	0	0	0
ASV.1535	0	0	0	2	0	0	0	0
ASV.1536	0	0	0	2	0	0	0	0
ASV.1537	0	0	0	2	0	0	0	0
ASV.1538	0	0	0	2	0	0	0	0
ASV.1539	0	0	0	2	0	0	0	0
ASV.1540	0	0	0	2	0	0	0	0
ASV.1541	0	0	0	0	2	0	0	0
ASV.1542	0	0	0	0	2	0	0	0
ASV.1543	0	0	0	0	2	0	0	0
ASV.1544	0	0	0	0	2	0	0	0
ASV.1545	0	0	0	0	2	0	0	0
ASV.1546	0	0	0	0	2	0	0	0
ASV.1547	0	0	0	0	2	0	0	0
ASV.1548	0	0	0	0	2	0	0	0
ASV.1549	0	0	0	0	2	0	0	0
ASV.1550	0	0	0	0	2	0	0	0
ASV.1551	0	0	0	0	2	0	0	0
ASV.1552	0	0	0	0	2	0	0	0
ASV.1553	0	0	0	0	2	0	0	0
ASV.1554	0	0	0	0	2	0	0	0
ASV.1555	0	0	0	0	2	0	0	0
ASV.1556	0	0	0	0	2	0	0	0
ASV.1557	0	0	0	0	2	0	0	0
ASV.1558	0	0	0	0	2	0	0	0
ASV.1559	0	0	0	0	2	0	0	0
ASV.1560	0	0	0	0	2	0	0	0
ASV.1561	0	0	0	0	2	0	0	0
ASV.1562	0	0	0	0	2	0	0	0
ASV.1563	0	0	0	0	2	0	0	0
ASV.1564	0	0	0	0	2	0	0	0
ASV.1565	0	0	0	0	2	0	0	0
ASV.1566	0	0	0	0	2	0	0	0
ASV.1567	0	0	0	0	2	0	0	0
ASV.1568	0	0	0	0	2	0	0	0
ASV.1569	0	0	0	0	2	0	0	0
ASV.1570	0	0	0	0	2	0	0	0
ASV.1571	0	0	0	0	2	0	0	0
ASV.1572	0	0	0	0	2	0	0	0
ASV.1573	0	0	0	0	2	0	0	0
ASV.1574	0	0	0	0	2	0	0	0
ASV.1575	0	0	0	0	2	0	0	0
ASV.1576	0	0	0	0	2	0	0	0
ASV.1577	0	0	0	0	2	0	0	0
ASV.1578	0	0	0	0	2	0	0	0
ASV.1579	0	0	0	0	2	0	0	0
ASV.1580	0	0	0	0	2	0	0	0
ASV.1581	0	0	0	0	2	0	0	0
ASV.1582	0	0	0	0	2	0	0	0
ASV.1583	0	0	0	0	2	0	0	0
ASV.1584	0	0	0	0	2	0	0	0
ASV.1585	0	0	0	0	2	0	0	0
ASV.1586	0	0	0	0	2	0	0	0
ASV.1587	0	0	0	0	2	0	0	0
ASV.1588	0	0	0	0	2	0	0	0
ASV.1589	0	0	0	0	2	0	0	0
ASV.1590	0	0	0	0	2	0	0	0
ASV.1591	0	0	0	0	0	2	0	0
ASV.1592	0	0	0	0	0	2	0	0
ASV.1593	0	0	0	0	0	2	0	0
ASV.1594	0	0	0	0	0	2	0	0
ASV.1595	0	0	0	0	0	2	0	0
ASV.1596	0	0	0	0	0	2	0	0
ASV.1597	0	0	0	0	0	2	0	0
ASV.1598	0	0	0	0	0	2	0	0
ASV.1599	0	0	0	0	0	2	0	0
ASV.1600	0	0	0	0	0	2	0	0
ASV.1601	0	0	0	0	0	2	0	0
ASV.1602	0	0	0	0	0	2	0	0
ASV.1603	0	0	0	0	0	2	0	0
ASV.1604	0	0	0	0	0	2	0	0
ASV.1605	0	0	0	0	0	2	0	0
ASV.1606	0	0	0	0	0	2	0	0
ASV.1607	0	0	0	0	0	2	0	0
ASV.1608	0	0	0	0	0	2	0	0
ASV.1609	0	0	0	0	0	2	0	0
ASV.1610	0	0	0	0	0	2	0	0
ASV.1611	0	0	0	0	0	2	0	0
ASV.1612	0	0	0	0	0	2	0	0
ASV.1613	0	0	0	0	0	2	0	0
ASV.1614	0	0	0	0	0	2	0	0
ASV.1615	0	0	0	0	0	2	0	0
ASV.1616	0	0	0	0	0	2	0	0
ASV.1617	0	0	0	0	0	2	0	0
ASV.1618	0	0	0	0	0	2	0	0
ASV.1619	0	0	0	0	0	2	0	0
ASV.1620	0	0	0	0	0	2	0	0
ASV.1621	0	0	0	0	0	2	0	0
ASV.1622	0	0	0	0	0	2	0	0
ASV.1623	0	0	0	0	0	2	0	0
ASV.1624	0	0	0	0	0	2	0	0
ASV.1625	0	0	0	0	0	2	0	0
ASV.1626	0	0	0	0	0	2	0	0
ASV.1627	0	0	0	0	0	2	0	0
ASV.1628	0	0	0	0	0	2	0	0
ASV.1629	0	0	0	0	0	2	0	0
ASV.1630	0	0	0	0	0	2	0	0
ASV.1631	0	0	0	0	0	2	0	0
ASV.1632	0	0	0	0	0	2	0	0
ASV.1633	0	0	0	0	0	2	0	0
ASV.1634	0	0	0	0	0	2	0	0
ASV.1635	0	0	0	0	0	2	0	0
ASV.1636	0	0	0	0	0	2	0	0
ASV.1637	0	0	0	0	0	2	0	0
ASV.1638	0	0	0	0	0	2	0	0
ASV.1639	0	0	0	0	0	2	0	0
ASV.1640	0	0	0	0	0	2	0	0
ASV.1641	0	0	0	0	0	2	0	0
ASV.1642	0	0	0	0	0	2	0	0
ASV.1643	0	0	0	0	0	2	0	0
ASV.1644	0	0	0	0	0	2	0	0
ASV.1645	0	0	0	0	0	2	0	0
ASV.1646	0	0	0	0	0	2	0	0
ASV.1647	0	0	0	0	0	2	0	0
ASV.1648	0	0	0	0	0	2	0	0
ASV.1649	0	0	0	0	0	2	0	0
ASV.1650	0	0	0	0	0	2	0	0
ASV.1651	0	0	0	0	0	2	0	0
ASV.1652	0	0	0	0	0	2	0	0
ASV.1653	0	0	0	0	0	2	0	0
ASV.1654	0	0	0	0	0	2	0	0
ASV.1655	0	0	0	0	0	2	0	0
ASV.1656	0	0	0	0	0	2	0	0
ASV.1657	0	0	0	0	0	2	0	0
ASV.1658	0	0	0	0	0	2	0	0
ASV.1659	0	0	0	0	0	2	0	0
ASV.1660	0	0	0	0	0	2	0	0
ASV.1661	0	0	0	0	0	2	0	0
ASV.1662	0	0	0	0	0	2	0	0
ASV.1663	0	0	0	0	0	2	0	0
ASV.1664	0	0	0	0	0	2	0	0
ASV.1665	0	0	0	0	0	0	2	0
ASV.1666	0	0	0	0	0	0	2	0
ASV.1667	0	0	0	0	0	0	2	0
ASV.1668	0	0	0	0	0	0	2	0
ASV.1669	0	0	0	0	0	0	2	0
ASV.1670	0	0	0	0	0	0	2	0
ASV.1671	0	0	0	0	0	0	2	0
ASV.1672	0	0	0	0	0	0	2	0
ASV.1673	0	0	0	0	0	0	2	0
ASV.1674	0	0	0	0	0	0	2	0
ASV.1675	0	0	0	0	0	0	2	0
ASV.1676	0	0	0	0	0	0	2	0
ASV.1677	0	0	0	0	0	0	2	0
ASV.1678	0	0	0	0	0	0	2	0
ASV.1679	0	0	0	0	0	0	2	0
ASV.1680	0	0	0	0	0	0	2	0
ASV.1681	0	0	0	0	0	0	2	0
ASV.1682	0	0	0	0	0	0	2	0
ASV.1683	0	0	0	0	0	0	2	0
ASV.1684	0	0	0	0	0	0	2	0
ASV.1685	0	0	0	0	0	0	2	0
ASV.1686	0	0	0	0	0	0	2	0
ASV.1687	0	0	0	0	0	0	2	0
ASV.1688	0	0	0	0	0	0	2	0
ASV.1689	0	0	0	0	0	0	2	0
ASV.1690	0	0	0	0	0	0	2	0
ASV.1691	0	0	0	0	0	0	2	0
ASV.1692	0	0	0	0	0	0	2	0
ASV.1693	0	0	0	0	0	0	2	0
ASV.1694	0	0	0	0	0	0	2	0
ASV.1695	0	0	0	0	0	0	2	0
ASV.1696	0	0	0	0	0	0	2	0
ASV.1697	0	0	0	0	0	0	2	0
ASV.1698	0	0	0	0	0	0	2	0
ASV.1699	0	0	0	0	0	0	2	0
ASV.1700	0	0	0	0	0	0	2	0
ASV.1701	0	0	0	0	0	0	2	0
ASV.1702	0	0	0	0	0	0	2	0
ASV.1703	0	0	0	0	0	0	2	0
ASV.1704	0	0	0	0	0	0	2	0
ASV.1705	0	0	0	0	0	0	2	0
ASV.1706	0	0	0	0	0	0	2	0
ASV.1707	0	0	0	0	0	0	2	0
ASV.1708	0	0	0	0	0	0	2	0
ASV.1709	0	0	0	0	0	0	2	0
ASV.1710	0	0	0	0	0	0	2	0
ASV.1711	0	0	0	0	0	0	2	0
ASV.1712	0	0	0	0	0	0	2	0
ASV.1713	0	0	0	0	0	0	2	0
ASV.1714	0	0	0	0	0	0	2	0
ASV.1715	0	0	0	0	0	0	2	0
ASV.1716	0	0	0	0	0	0	2	0
ASV.1717	0	0	0	0	0	0	2	0
ASV.1718	0	0	0	0	0	0	2	0
ASV.1719	0	0	0	0	0	0	2	0
ASV.1720	0	0	0	0	0	0	2	0
ASV.1721	0	0	0	0	0	0	2	0
ASV.1722	0	0	0	0	0	0	2	0
ASV.1723	0	0	0	0	0	0	2	0
ASV.1724	0	0	0	0	0	0	2	0
ASV.1725	0	0	0	0	0	0	2	0
ASV.1726	0	0	0	0	0	0	2	0
ASV.1727	0	0	0	0	0	0	2	0
ASV.1728	0	0	0	0	0	0	2	0
ASV.1729	0	0	0	0	0	0	2	0
ASV.1730	0	0	0	0	0	0	2	0
ASV.1731	0	0	0	0	0	0	2	0
ASV.1732	0	0	0	0	0	0	2	0
ASV.1733	0	0	0	0	0	0	2	0
ASV.1734	0	0	0	0	0	0	2	0
ASV.1735	0	0	0	0	0	0	2	0
ASV.1736	0	0	0	0	0	0	2	0
ASV.1737	0	0	0	0	0	0	2	0
ASV.1738	0	0	0	0	0	0	2	0
ASV.1739	0	0	0	0	0	0	2	0
ASV.1740	0	0	0	0	0	0	2	0
ASV.1741	0	0	0	0	0	0	2	0
ASV.1742	0	0	0	0	0	0	2	0
ASV.1743	0	0	0	0	0	0	0	2
ASV.1744	0	0	0	0	0	0	0	2
ASV.1745	0	0	0	0	0	0	0	2
ASV.1746	0	0	0	0	0	0	0	2
ASV.1747	0	0	0	0	0	0	0	2
ASV.1748	0	0	0	0	0	0	0	2
ASV.1749	0	0	0	0	0	0	0	2
ASV.1750	0	0	0	0	0	0	0	2
ASV.1751	0	0	0	0	0	0	0	2
ASV.1752	0	0	0	0	0	0	0	2
ASV.1753	0	0	0	0	0	0	0	2
ASV.1754	0	0	0	0	0	0	0	2
ASV.1755	0	0	0	0	0	0	0	2
ASV.1756	0	0	0	0	0	0	0	2
ASV.1757	0	0	0	0	0	0	0	2
ASV.1758	0	0	0	0	0	0	0	2
ASV.1759	0	0	0	0	0	0	0	2
ASV.1760	0	0	0	0	0	0	0	2
ASV.1761	0	0	0	0	0	0	0	2
ASV.1762	0	0	0	0	0	0	0	2
ASV.1763	0	0	0	0	0	0	0	2
ASV.1764	0	0	0	0	0	0	0	2
ASV.1765	0	0	0	0	0	0	0	2
ASV.1766	0	0	0	0	0	0	0	2
ASV.1767	0	0	0	0	0	0	0	2
ASV.1768	0	0	0	0	0	0	0	2
ASV.1769	0	0	0	0	0	0	0	2
ASV.1770	0	0	0	0	0	0	0	2
ASV.1771	0	0	0	0	0	0	0	2
ASV.1772	0	0	0	0	0	0	0	2
ASV.1773	0	0	0	0	0	0	0	2
ASV.1774	0	0	0	0	0	0	0	2
ASV.1775	0	0	0	0	0	0	0	2
ASV.1776	0	0	0	0	0	0	0	2
ASV.1777	0	0	0	0	0	0	0	2
ASV.1778	0	0	0	0	0	0	0	2
ASV.1779	0	0	0	0	0	0	0	2
ASV.1780	0	0	0	0	0	0	0	2
ASV.1782	0	0	0	0	0	0	0	2
ASV.1783	0	0	0	0	0	0	0	2
ASV.1784	0	0	0	0	0	0	0	2
ASV.1785	0	0	0	0	0	0	0	2
ASV.1786	0	0	0	0	0	0	0	2
ASV.1787	0	0	0	0	0	0	0	2
ASV.1788	0	0	0	0	0	0	0	2
ASV.1789	0	0	0	0	0	0	0	2
ASV.1790	0	0	0	0	0	0	0	2
ASV.1791	0	0	0	0	0	0	0	2
ASV.1792	0	0	0	0	0	0	0	2
ASV.1793	0	0	0	0	0	0	0	2
ASV.1794	0	0	0	0	0	0	0	2
ASV.1795	0	0	0	0	0	0	0	2
ASV.1796	0	0	0	0	0	0	0	2
ASV.1797	0	0	0	0	0	0	0	2
ASV.1798	0	0	0	0	0	0	0	2
ASV.1799	0	0	0	0	0	0	0	2
ASV.1800	0	0	0	0	0	0	0	2
ASV.1801	0	0	0	0	0	0	0	2
ASV.1802	0	0	0	0	0	0	0	2
ASV.1806	0	0	0	0	0	1	0	0
