Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.60	1460	0	0	0	0	0	0	1806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.61	0	0	96	0	92	0	319	0	0	0	0	0	0	114	0	0	0	64	0	0	290	0	0	194	0	0	0	184	0	0	0	0	0	0	191	0	0	0	0	268	139	156	0	0	0	0	0	0	274	0	103	0	0	356	375	0
ASV.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	1846	0	0	0	0	0	0	0	0	317	522	0	0	0	0	0	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.64	0	0	0	0	0	235	0	0	0	136	0	510	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	48	153	0	0	89	216	0	0	0	0	0	321	0	0	214	186	70	0	0	0	449	0	0	0
ASV.65	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	607	0	0	0	0	0	0	0	0	0	205	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	599	0	706	0	0	167	0	0	0
ASV.66	6	577	0	0	0	0	0	0	942	0	0	0	0	0	0	7	0	0	29	0	0	0	0	4	0	0	0	0	265	46	0	0	0	0	0	677	0	0	0	0	0	0	8	0	0	0	0	68	0	12	0	0	0	0	0	53
ASV.67	684	0	0	0	116	0	0	526	0	0	45	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	23	0	47	0	0	42	853	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	165	0	0	0
ASV.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2199
