SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.240	0	0	0	0	72	0	0	0	0	0	8	0	0	0
ASV.242	0	78	0	0	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	78	0	0	0	0	0	0	0	0
ASV.244	0	0	0	0	0	77	0	0	0	0	0	0	0	0
ASV.246	0	0	0	0	0	0	0	0	0	76	0	0	0	0
ASV.247	15	11	0	0	0	0	0	0	25	0	24	0	0	0
ASV.248	0	0	0	0	0	0	0	75	0	0	0	0	0	0
ASV.249	0	0	0	0	0	0	0	0	0	75	0	0	0	0
ASV.251	0	0	0	0	0	0	0	0	0	74	0	0	0	0
ASV.252	0	0	0	0	0	73	0	0	0	0	0	0	0	0
ASV.256	0	0	0	0	0	0	0	72	0	0	0	0	0	0
ASV.257	0	0	0	0	0	0	0	72	0	0	0	0	0	0
ASV.259	0	0	0	0	0	0	0	0	0	72	0	0	0	0
ASV.260	0	0	0	0	0	0	0	0	0	0	0	0	0	72
ASV.262	0	0	0	0	0	0	0	71	0	0	0	0	0	0
ASV.263	0	0	0	69	0	0	0	0	0	0	0	0	0	0
ASV.265	0	0	0	0	0	0	0	0	69	0	0	0	0	0
ASV.267	0	0	0	0	0	0	0	0	0	0	0	0	0	69
ASV.270	0	0	0	0	0	31	0	0	0	0	0	0	0	34
ASV.271	0	0	0	0	0	0	0	65	0	0	0	0	0	0
ASV.272	0	0	0	0	0	0	0	0	0	65	0	0	0	0
ASV.274	0	0	0	0	0	64	0	0	0	0	0	0	0	0
ASV.277	0	0	0	0	0	0	0	0	0	0	0	0	0	63
ASV.279	0	0	0	0	0	62	0	0	0	0	0	0	0	0
ASV.280	0	0	0	0	0	0	0	61	0	0	0	0	0	0
ASV.281	0	0	0	0	0	0	0	0	0	61	0	0	0	0
ASV.283	0	0	0	33	0	0	0	0	27	0	0	0	0	0
ASV.284	0	0	0	60	0	0	0	0	0	0	0	0	0	0
ASV.287	0	0	0	0	0	60	0	0	0	0	0	0	0	0
ASV.288	0	0	0	0	0	45	0	0	0	15	0	0	0	0
ASV.289	0	0	0	0	0	0	0	0	0	60	0	0	0	0
ASV.291	0	0	0	59	0	0	0	0	0	0	0	0	0	0
ASV.292	0	0	0	0	0	0	0	59	0	0	0	0	0	0
ASV.297	0	0	0	0	0	0	0	57	0	0	0	0	0	0
ASV.298	0	0	0	0	0	0	0	57	0	0	0	0	0	0
ASV.299	0	0	0	0	0	0	0	57	0	0	0	0	0	0
ASV.300	0	6	0	50	0	0	0	0	0	0	0	0	0	0
ASV.301	0	0	0	0	0	55	0	0	0	0	0	0	0	0
ASV.302	0	0	0	0	0	55	0	0	0	0	0	0	0	0
ASV.303	0	0	0	0	0	0	0	0	55	0	0	0	0	0
ASV.304	0	0	0	0	0	0	0	0	47	0	8	0	0	0
ASV.305	0	0	0	0	0	0	0	0	0	55	0	0	0	0
ASV.308	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV.309	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV.310	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV.314	0	0	0	0	0	53	0	0	0	0	0	0	0	0
ASV.315	0	0	0	0	0	53	0	0	0	0	0	0	0	0
ASV.317	0	0	0	0	0	0	0	53	0	0	0	0	0	0
ASV.321	0	0	0	52	0	0	0	0	0	0	0	0	0	0
ASV.323	10	0	0	0	0	0	0	0	41	0	0	0	0	0
ASV.325	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV.326	0	0	0	0	0	0	0	0	0	0	0	0	0	51
ASV.329	0	0	0	0	0	50	0	0	0	0	0	0	0	0
